"Key","Texto","NomeGDT","Quem","Onde","Quando","TipoDeliberacao","DeliberacaoFinal","EmailResponsaveis","NomeAutores","NomeEvento","TituloEvento","Ano","Mes"
11,"Que o Conselho da CENAPET acione a Diretoria da CENAPET, após a aprovação em assembleia do VII ECOPET, para que faça cumprir os encaminhamentos aprovados no ENAPET 2019: I - Que a Diretoria da CENAPET envie um ofício à SESu/MEC solicitando a regulamentação das cotas étnico-raciais dentro do Programa de Educação Tutorial, através dos editais de processo seletivo, após a realização do ENAPET 2019. II - Que a Diretoria da CENAPET elabore uma moção incentivando que os representantes discentes do CLAA de cada IES solicitem ao respectivo Comitê que acompanhe e fiscalize a implementação de cotas nos processos seletivos dos grupos PET, a fim de garantir a diversidade e assegurar a realização e a implementação dos encaminhamentos aprovados em assembleias dos encontros regionais e nacionais.","GDT PET, Diversidade e Direitos Humanos II",Conselho da CENAPET,"",após a assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
12,"Que as comissões organizadoras de eventos regionais e nacionais do PET nos formatos presencial e remoto, até a realização da próxima edição dos eventos, garantam a acessibilidade dos participantes, solicitando, por meio de formulários de inscrição acessíveis, informações sobre as suas necessidades especiais, mapeando-as e atendendo-as no que for necessário por meio ações efetivas, tais como: I – inclusão de intérprete de libras para pessoas surdas; II – adaptação do espaço físico, com rampas de acesso para pessoas com mobilidade reduzida; III – confecção dos materiais físicos disponibilizados em braile para pessoas com deficiência visual; IV – inserção de legendas nos vídeos que venham a ser transmitidos para pessoas com dificuldades auditivas; V – entre outros.","GDT PET, Diversidade e Direitos Humanos II",Comissão organizadora de eventos PET,"",até a realização da próxima edição dos eventos,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
13,"Que a Comissão de Diversidade formule, até maio de 2021, um documento sobre a importância de diversidades nos grupos PET.","GDT PET, Diversidade e Direitos Humanos II",Comissão de Diversidade,"",Até maio de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
14,"Que o CLAA realize o acompanhamento dos grupos PET do Centro-Oeste com relação à inserção, em suas reuniões ordinárias e/ou em outros espaços acadêmicos, de leituras acerca das comunidades tradicionais, de gênero, representatividade LGBTQIA+, relações étnico-raciais e pessoas com deficiência, a fim de proporcionar conhecimento sobre o assunto, no intuito de construir atividades formativas, a partir do planejamento de 2021.","GDT PET, Diversidade e Direitos Humanos II",CLAA,"",A partir do planejamento de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
15,"Que os grupos PET realizem eventos em suas IES que tenham como o intuito o debate sobre preconceitos e discriminação, tais como o racismo, o capacitismo, a gordofobia e a LGBTQIA+fobia, entre outros.","GDT PET, Diversidade e Direitos Humanos II",Grupos PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
16,"Que os grupos PET dialoguem com suas respectivas instâncias superiores, tais como faculdades, institutos, departamentos e coordenações de curso, para ter ciência de como está o ingresso de pessoas com deficiência, bem como para promover ações para o maior ingresso desses estudantes.","GDT PET, Diversidade e Direitos Humanos II",Grupos PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
17,Que os CLAAs das IES normatizem os grupos PET por meio de Regimento a partir de janeiro de 2021 (após a realização do XXV ENAPET).,GDT PET e Legislação,CLAA,"",A partir de janeiro de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
18,"Que cada grupo PET do Centro-Oeste que não tenha um Regimento Interno proponha, discuta e aprove o seu Regimento Interno até dezembro de 2021, para favorecer e desenvolver suas atividades e seu funcionamento.",GDT PET e Legislação,Grupos PET,"",Até dezembro de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
19,"Que os grupos PET pautem em reunião do CLAA a formulação de diretrizes gerais para que as comissões de processos seletivos do PET possam nortear seus editais de seleção com base em critérios de políticas públicas de Ações Afirmativas a partir de fevereiro de 2021, em concordância com a redação da Portaria MEC nº 976, de 27 de julho de 2010, Art.2º, inciso VIII, dada pela Portaria MEC nº 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero (após a realização do XXV ENAPET).",GDT PET e Legislação,Grupos PET,"",A partir de fevereiro de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
20,"Que a partir de 2021, os CLAAs demandem às Pró-Reitorias de Graduação ou órgãos equivalentes a participação dos grupos PET na elaboração dos editais de seleção, com maior autonomia dos grupos na redação e devida periodicidade de publicação dos editais nas Instituições onde isso não ocorra.",GDT PET e Diversidade e Direitos Humanos I,CLAA,"",A partir de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
21,"Que os grupos PET coloquem nos planejamentos anuais, após aprovação na Assembleia do VII ECOPET, a realização de avaliações semestrais internas, priorizando a horizontalidade, em que todos os membros do grupo PET, discente e docentes, avaliem e sejam avaliados, a fim de buscar melhorias no desempenho dos indivíduos e dos grupos.",GDT PET e Avaliação,Grupos PET,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
22,"Que o CLAA de cada instituição de ensino sugira, em documento, pontos importantes a serem avaliados sobre cada Petiano e quanto ao trabalho coletivo do grupo, ficando a critério de cada PET a forma como tal avaliação será desenvolvida, respeitando as particularidades de cada grupo. Esta avaliação prévia é para organização, controle e possíveis melhorias de cada PET, e será independente de avaliações quanto aos grupos, sobre as quais o CLAA é independente e soberano.",GDT PET e Avaliação,CLAA,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
23,"Que os grupos PET promovam campanhas ou atividades similares para conscientização acerca da necessidade do equilíbrio entre atividades universitárias, tempo livre e demais obrigações dos discentes durante o distanciamento social, visto que há professores que, por causa do semestre à distância, subestimam a disponibilidade de tempo e acabam sobrecarregando seus alunos. Essas campanhas devem ter início após aprovação em assembleia geral do VII ECOPET, com divulgação em meios institucionais.",GDT PET e Educação em Tempo de Pandemia e Novas Tecnologias da Informação e Comunicação (TIC),Grupos PET,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
24,"Que os processos seletivos continuem a acontecer remotamente durante o distanciamento social, dentro da realidade de cada PET, visando a manutenção do programa. Deve constar em edital um parágrafo/artigo que verse sobre outras formas de realização do processo caso o candidato não tenha acesso à internet ou a outras TICs, como, por exemplo, ser entrevistado por ligação telefônica ou receber prova por meio de correio. Deve-se tentar negociar com a IES o fornecimento de equipamentos de comunicação e acesso à internet (como tablets, notebooks e chips habilitados com conexão 3G ou 4G) aos aprovados que não os possuírem, de maneira a permitir que todos possam participar das atividades do grupo PET. Este processo terá vigência durante a pandemia de COVID-19, podendo ser estendido de acordo com a realidade da universidade.",GDT PET e Educação em Tempo de Pandemia e Novas Tecnologias da Informação e Comunicação (TIC),Grupos PET,"","durante a pandemia de COVID-19, podendo ser estendido de acordo com a realidade da universidade.",Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
25,"Devido ao contexto atual de distanciamento físico e funcionamento dos grupos PET em formato remoto, a execução das atividades desenvolvidas dentro de alguns grupos se tornou mais demorada e, em muito, dificultada, devido a suas características específicas. Em termos gerais e para todos os grupos, houve necessidade de se utilizar ferramentas tecnológicas, em relação às quais os componentes dos grupos não tinham domínio, nem familiaridade. Além disso, deve-se levar em conta o aumento na quantidade de atividades oriundas das disciplinas da grade curricular e a dificuldade em manter o nível de produtividade, pelos Petianos estarem trabalhando também em ambiente doméstico, em especial para aqueles que cursam faculdade em período integral e dispõem de menos tempo. Solicita-se, portanto, que a CENAPET defenda, junto ao MEC, após a aprovação na assembleia geral do VII ECOPET, uma redução de 20% na carga horária semanal exigida até quando perdurar o funcionamento das instituições de ensino em formato remoto.",GDT PET e Educação em Tempo de Pandemia e Novas Tecnologias da Informação e Comunicação (TIC),Diretoria da CENAPET,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
26,"Sugere-se que haja, a partir de 2021, entre os grupos PET e os respectivos comitês locais do Mobiliza PET, a organização e a realização de encontros e eventos periódicos para disseminação das iniciativas do Mobiliza, podendo também buscar integrar os grupos de outras IES.",GDT PET e Mobiliza,Mobiliza PET,"",A partir de 2021,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
27,"Que os grupos PET utilizem a “Carta da Terra”, idealizada pela Comissão Mundial sobre Meio Ambiente e Desenvolvimento das Nações Unidas, e os ""17 Objetivos de Desenvolvimento Sustentável (ODS) – Agenda 2030"" como documentos basilares para a elaboração do planejamento anual, a partir de 2021.",GDT PET e Desenvolvimento Sustentável,Grupos PET,"",A partir de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
28,"Que os grupos PET, a partir de 2021, promovam discussões baseadas em fontes documentais e orais, pelo menos uma vez ao ano, sobre o agronegócio e a mineração em terras indígenas, por meio da parceria com PETs indígenas ou representantes indígenas.",GDT PET e Desenvolvimento Sustentável,Grupos PET,"",A partir de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
29,"Que a CENAPET, após aprovação na assembleia geral do XXV ENAPET, encaminhe ao Ministério da Educação (MEC) uma solicitação formal de alteração da portaria 976 (pela complementar 364), para que se passe a utilizar a média do aluno em relação à média dos alunos do curso na respectiva IES, para avaliar a permanência no grupo, e não o número de reprovações (se a média for maior ou igual à média da universidade pode permanecer no grupo).",GDT PET e Permanência,Diretoria da CENAPET,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
30,"Que a diretoria da CENAPET, após aprovação na assembleia geral do XXV ENAPET, encaminhe ao Ministério da Educação (MEC) um ofício dispondo sobre a solicitação formal da inclusão da política de licença maternidade e paternidade nos grupos PET.",GDT PET e Permanência,Diretoria da CENAPET,"",Após aprovação na assembleia do XXV ENAPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
31,"Que, após a Assembleia do VII ECOPET, os grupos PET gravem reuniões ordinárias e extraordinárias que forem realizadas no formato online, a fim de que integrantes que tenham dificuldades de acesso à internet e/ou outras dificuldades possam integrar-se das deliberações realizadas pelos grupos.",Formulário aberto de novas proposições,Grupos PET,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
32,"Que a CENAPET, após o VII ECOPET, procure solucionar junto ao MEC critérios de avaliação de desenvolvimento de grupos específicos, como o PET Indígenas. Estes vêm sofrendo com a pandemia, queimada e demarcação territorial nesse período de distanciamento em que retornaram para suas aldeias. O contato para desenvolvimento de atividade está comprometido, como deveremos agir quando chegarem os relatórios e planejamento? Esse grupo possui suas peculiaridades e não deve ser avaliado com as mesmas diretrizes dos demais, como nas questões relacionadas ao número de reprovações e índice de rendimento de cada integrante; são soluções que devem ser trabalhadas para que não ocorra prejuízo aos mesmos.",Formulário aberto de novas proposições,Diretoria da CENAPET,"",Após o VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
33,"Que os CLAA, juntamente com a pró-reitoria da IES, após o VII ECOPET, acompanhem o desenvolvimento das atividades propostas pelos grupos PET durante o trabalho remoto. Proponho isso diante de falas de tutores no InterPET da UFMT, onde deliberaram que o CLAA aprove os relatórios de 2020 mesmo que os grupos não tenham desenvolvido nenhuma atividade. Lembrando aos tutores do seu papel dentro do grupo e que o não desenvolvimento de atividades pelo grupo, visando apenas o recebimento de bolsas, pode promover prejuízo a todos grupos do programa que vêm lutando contra retaliações de corte de verba.",Formulário aberto de novas proposições,CLAA,"",Após o VII ECOPET,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
34,"Que os grupos PET de mesmo curso, mediante a aprovação em assembleia, realizem encontros periódicos de forma online para compartilhar experiências, ideias e sugestões, no intuito de melhorar a ação destes PETs em seus cursos",Formulário aberto de novas proposições,Grupos PET,"",Após aprovação na assembleia,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
35,"Que um grupo de cada IES, preferencialmente orientados por PET de Psicologia ou profissionais da área de saúde mental, criem um material informativo sobre Saúde Mental, informando sobre como identificar que alguém pode estar passando por uma dificuldade psicológica, como abordar o assunto com o aluno/colega e como ajudá-lo(a) (incluindo informações específicas às IES sobre como procurar ajuda psicológica, como poderiam ser feitas formas alternativas de avaliação etc.). O material seria distribuído por meio eletrônico e/ou físico pelos PETs em locais relacionados à universidade no período letivo de 2021.",GDT PET e Saúde Mental,Grupos PET,"",Período letivo de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
36,"Que em cada ano, a partir de 2021, seja incluído no planejamento dos PETs pelo menos uma atividade, contínua ou não, para troca de experiências pessoais e coletivas de sofrimento psíquico dos acadêmicos, coordenado pelos PETs das IES, com o objetivo de promover a saúde mental em um espaço (físico ou virtual) seguro, se possível assistidos por profissional da psicologia.",GDT PET e Saúde Mental,Grupos PET,"","Em cada ano, a partir de 2021",Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
37,"Que os tutores e Petianos, durante a elaboração do planejamento de atividades anuais, incluam ao menos uma ação de promoção da saúde mental do grupo PET, tais como roda de conversa, atividades de interação e descontração, entre outros, com a presença de convidados. Essas atividades devem ser inclusas no planejamento de atividades de cada ano letivo, a partir de 2021.",GDT PET e Saúde Mental,Grupos PET,"","Em cada ano, a partir de 2021",Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
38,"Que os grupos PET criem reuniões de integração com o objetivo de promover maior socialização entre os membros e para a construção de um senso coletivo no grupo. As reuniões de integração se iniciarão até 2021 e terão um caráter lúdico, com o objetivo de promover saúde mental para os membros, considerando a importância de se ter atividades não só de cunho acadêmico. Fica sob responsabilidade de cada PET especificar entre si como serão essas reuniões integrativas.",GDT PET e Saúde Mental,Grupos PET,"",Até 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
39,"Sugere-se que os grupos PET, após aprovação na assembleia geral do VII ECOPET, promovam ações de acolhimento com os membros de seu grupo PET. As ações de acolhimento consistirão em encontros com os Petianos para que iniciem um processo de conhecimento, de integração, de solidariedade e de confiança, que possibilitem demonstrações de apoio do grupo a seus membros, mesmo em situações de instabilidade psicológica.",GDT PET e Saúde Mental,Grupos PET,"",Após aprovação na assembleia do VII ECOPET,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
40,"Que os grupos PET, por meio das ações interdisciplinares, criem atividades de interação em parceria com a coordenação do curso. Atividades que possam envolver os alunos da graduação, professores e técnicos administrativos, como uma forma de promoção da saúde mental no ambiente acadêmico.",GDT PET e Saúde Mental,Grupos PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
41,"Que todos os grupos PET pensem e apliquem em seu planejamento anual ao menos uma atividade voltada às questões de saúde mental e qualidade de vida dentro dos próprios grupos PET, com parcerias existentes, apoio de psicólogos da IES ou profissionais de fora.",Encontro Docentes,Grupos PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
42,"Que os grupos PET, a partir de 2021, desenvolvam em suas IES oficinas de construção e atualização do Currículo Lattes para seus integrantes, para discentes de suas IES e, também, para a comunidade externa.","GDT PET e a Universidade: Ensino, Pesquisa e Extensão",Grupos PET,"",A partir de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
43,"Que, coletivamente, os grupos PET solicitem à pró-reitoria a divulgação de seus programas no site institucional, por meio de uma descrição do que é o PET e com a disponibilização de links que redirecionem para as redes sociais, sites e contatos dos grupos. A solicitação precisa ser feita até o segundo semestre de 2021.","GDT PET e a Universidade: Ensino, Pesquisa e Extensão",Grupos PET,"",Atpe o segundo semestre de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
44,"Que, após a aprovação na assembleia do VII ECOPET, a CENAPET encaminhe ao MEC ou à administração superior, de cada IES, em Pesquisa, Ensino e Extensão, um pedido de criação de site oficial dos grupos PET que estejam subordinados à instituição federal, trazendo, assim, mais segurança ao site, bem como funcionalidades diversas e facilidade no acesso. Que esse site seja vinculado ao site da IES através de uma aba, para que haja a troca de informações de diferentes grupos do PET e divulgação das ações desse grupo na comunidade, com segurança na informação.",Encontro Discentes,Diretoria da CENAPET,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
